,name,count,probability,cumulative_probability
2032,GERBER,16348,0.00011011766241972948,0.10738457814262327
2031,PIMENTEL,16358,0.00011018502091154482,0.10749476316353482
2030,HAMLIN,16358,0.00011018502091154482,0.10760494818444637
2029,HUSTON,16364,0.00011022543600663403,0.107715173620453
2028,ALEMAN,16379,0.00011032647374435704,0.10782550009419736
2027,PURVIS,16381,0.00011033994544272011,0.10793584003964009
2026,KEATING,16392,0.000110414039783717,0.10804625407942381
2025,BURNETTE,16409,0.0001105285492198031,0.10815678262864362
2024,GAUTHIER,16419,0.00011059590771161844,0.10826737853635524
2023,MADSEN,16425,0.00011063632280670765,0.10837801485916194
2022,WHITTAKER,16441,0.0001107440963936122,0.10848875895555556
2021,HASKINS,16457,0.00011085186998051676,0.10859961082553607
2020,SCHRADER,16464,0.00011089902092478751,0.10871050984646086
2018,ADDISON,16474,0.00011096637941660285,0.10882147622587746
2019,VANDYKE,16474,0.00011096637941660285,0.10893244260529406
2017,KOHLER,16477,0.00011098658696414745,0.1090434291922582
2016,HOOKER,16479,0.00011100005866251052,0.10915442925092071
2015,WHITT,16488,0.00011106068130514434,0.10926548993222586
2014,WOODSON,16496,0.00011111456809859661,0.10937660450032445
2013,THAYER,16496,0.00011111456809859661,0.10948771906842304
2012,DORAN,16509,0.00011120213413795656,0.109598921202561
2011,CORMIER,16513,0.0001112290775346827,0.10971015028009568
2010,HOBSON,16517,0.00011125602093140883,0.10982140630102709
2009,GROVER,16551,0.00011148503980358103,0.10993289134083067
2008,KNUTSON,16560,0.00011154566244621483,0.11004443700327689
2007,BOYKIN,16565,0.00011157934169212251,0.11015601634496901
2006,STAPLES,16572,0.00011162649263639325,0.1102676428376054
2005,ULRICH,16575,0.00011164670018393786,0.11037928953778933
2004,HAWLEY,16578,0.00011166690773148245,0.11049095644552082
2003,LEMUS,16583,0.00011170058697739013,0.1106026570324982
2002,WHITLOCK,16603,0.00011183530396102083,0.11071449233645923
2001,FONG,16614,0.00011190939830201771,0.11082640173476126
2000,COMER,16619,0.00011194307754792538,0.11093834481230919
1999,CURRIE,16627,0.00011199696434137766,0.11105034177665056
1998,STRINGER,16634,0.0001120441152856484,0.11116238589193621
1997,FLOOD,16652,0.00011216536057091603,0.11127455125250713
1996,DUMAS,16660,0.0001122192473643683,0.11138677049987149
1995,LIGHT,16671,0.00011229334170536519,0.11149906384157686
1994,PRESCOTT,16686,0.0001123943794430882,0.11161145822101995
1993,MICHAELS,16696,0.00011246173793490355,0.11172391995895485
1992,NEUMANN,16697,0.00011246847378408509,0.11183638843273894
1991,AMBROSE,16697,0.00011246847378408509,0.11194885690652302
1990,HELM,16700,0.00011248868133162969,0.11206134558785465
1989,BURROUGHS,16702,0.00011250215302999276,0.11217384774088464
1988,COE,16706,0.0001125290964267189,0.11228637683731135
1987,HOPE,16710,0.00011255603982344504,0.1123989328771348
1986,SHAVER,16716,0.00011259645491853424,0.11251152933205334
1985,GRANGER,16721,0.00011263013416444192,0.11262415946621779
1984,ASHBY,16723,0.00011264360586280499,0.11273680307208059
1983,OAKLEY,16733,0.00011271096435462034,0.11284951403643521
1981,MOSELEY,16736,0.00011273117190216495,0.11296224520833738
1980,LUNSFORD,16736,0.00011273117190216495,0.11307497638023954
1982,READ,16736,0.00011273117190216495,0.1131877075521417
